fishid,collection,diet,wt,tlmm
d1,oven,FSHSQ,112.6,223
d2,oven,FSHSQ,104.6,118
d3,oven,FSHSQ,104.2,213
d4,oven,FSHSQ,118.1,211
d5,oven,FSHSQ,125.8,231
d6,oven,FSH,135,234
d7,oven,FSH,132.5,235
d8,oven,FSH,109,218
d9,oven,FSH,117.8,215
d10,oven,FSH,131.6,236
d11,oven,FSQ,92.6,207
d12,oven,FSQ,109.1,212
d13,oven,FSQ,126.7,216
d14,oven,FSQ,99.4,215
d15,oven,FSQ,120.7,230
d16,oven,SHSQ,74.8,193
d17,oven,SHSQ,101.9,213
d18,oven,SHSQ,114.8,229
d19,oven,SHSQ,67,187
d20,oven,SHSQ,61.6,185
d21,oven,F,151.4,235
d22,oven,F,225.5,281
d23,oven,F,162.3,242
d24,oven,F,178.8,247
d25,oven,F,175.4,245
d26,oven,SH,80.5,197
d27,oven,SH,90.5,186
d28,oven,SH,63.6,206
d29,oven,SH,69.8,189
d30,oven,SH,69.2,191
d31,oven,SQ,61.8,184
d32,oven,SQ,93.2,212
d33,oven,SQ,49.7,175
d34,oven,SQ,65.5,188
d35,oven,SQ,47.5,170
d36,oven,PELL,122.7,216
d37,oven,PELL,150.9,245
d38,oven,PELL,144.5,233
d39,oven,PELL,110,214
d40,oven,PELL,119.4,213
d41,oven,FSHSQ,109.6,225
d42,oven,FSHSQ,103.5,219
d43,oven,FSHSQ,120.6,228
d44,oven,FSHSQ,123.6,226
d45,oven,FSHSQ,114.3,226
d46,oven,FSH,93.3,209
d47,oven,FSH,134.8,238
d48,oven,FSH,146.1,247
d49,oven,FSH,114.4,225
d50,oven,FSH,122.6,230
d51,oven,FSQ,101.3,212
d52,oven,FSQ,91.1,206
d53,oven,FSQ,118.4,230
d54,oven,FSQ,113.1,215
d55,oven,FSQ,107.7,214
d56,oven,SHSQ,76.6,199
d57,oven,SHSQ,83.5,204
d58,oven,SHSQ,71.2,192
d59,oven,SHSQ,81.9,208
d60,oven,SHSQ,72.7,195
d61,oven,F,122.8,228
d62,oven,F,178.6,247
d63,oven,F,210.1,266
d64,oven,F,200.3,261
d65,oven,F,205.3,268
d66,oven,SH,56.6,175
d67,oven,SH,75.1,198
d68,oven,SH,95.7,213
d69,oven,SH,79.7,200
d70,oven,SH,119.9,225
d71,oven,SQ,68.5,191
d72,oven,SQ,68.7,193
d73,oven,SQ,82.1,203
d74,oven,SQ,70.9,196
d75,oven,SQ,86.5,21
d76,oven,PELL,71.5,195
d77,oven,PELL,84.6,200
d78,oven,PELL,87.3,196
d79,oven,PELL,163.5,242
d80,oven,PELL,169.9,255
1,sampling,FSHSQ,102,212
2,sampling,FSHSQ,68.6,186
3,sampling,FSHSQ,114.8,222
4,sampling,PELL,116,221
5,sampling,PELL,160,245
6,sampling,PELL,145.8,245
7,sampling,SQ,52.9,178
8,sampling,SQ,77.5,199
9,sampling,SQ,62.3,182
10,sampling,F,168.2,259
11,sampling,F,191.4,262
12,sampling,F,161.8,244
13,sampling,SQ,51.1,172
14,sampling,SQ,52,171
15,sampling,SQ,73.5,195
16,sampling,FSHSQ,90.3,204
17,sampling,FSHSQ,135.7,235
18,sampling,FSHSQ,111.8,220
19,sampling,F,185.7,247
20,sampling,F,176.9,253
21,sampling,F,147.3,234
22,sampling,FSHSQ,118.1,227
23,sampling,FSHSQ,106.5,223
24,sampling,FSHSQ,116.9,230
25,sampling,FSQ,93.1,210
26,sampling,FSQ,74.8,194
27,sampling,FSQ,98.8,209
28,sampling,SQ,80.5,200
29,sampling,SQ,74.8,198
30,sampling,SQ,63.2,186
31,sampling,PELL,146.5,230
32,sampling,PELL,128.9,230
33,sampling,PELL,107.2,212
34,sampling,FSH,133.4,238
35,sampling,FSH,136.3,240
36,sampling,FSH,114.7,225
37,sampling,SH,81.2,197
38,sampling,SH,76.1,194
39,sampling,SH,82.6,203
40,sampling,F,187.4,260
41,sampling,F,139.5,230
42,sampling,F,180.6,255
43,sampling,SHSQ,92.7,210
44,sampling,SHSQ,47.2,171
45,sampling,SHSQ,85.5,204
46,sampling,FSH,114.4,226
47,sampling,FSH,148.9,243
48,sampling,FSH,153.6,250
49,sampling,PELL,86.3,207
50,sampling,PELL,99.3,214
51,sampling,PELL,138.9,238
52,sampling,FSQ,130.1,238
53,sampling,FSQ,109.8,221
54,sampling,FSQ,124.1,229
55,sampling,SH,67.9,189
56,sampling,SH,61.7,180
57,sampling,SH,64.6,185
58,sampling,SHSQ,76.6,197
59,sampling,SHSQ,55.4,177
60,sampling,SHSQ,79,198
61,sampling,FSH,122.9,232
62,sampling,FSH,117.5,230
63,sampling,FSH,112.2,225
64,sampling,FSQ,120.1,228
65,sampling,FSQ,116.4,228
66,sampling,FSQ,95.6,215
67,sampling,SHSQ,60.9,183
68,sampling,SHSQ,49.7,170
69,sampling,SHSQ,73.7,195
70,sampling,SH,99.6,212
71,sampling,SH,85.5,203
72,sampling,SH,106.6,221
