Week,Date,Tank,Ammonia mg/L,Nitrite mg/L,Nitrate mg/L
1,12/2/2019,1,0.02,0.012,1.5
1,12/2/2019,5,0.04,0.007,4.2
1,12/2/2019,9,0.02,0.012,1.7
1,12/2/2019,13,0,0.011,1.4
1,12/2/2019,17,0.03,0.009,2.6
1,12/2/2019,21,0.01,0.013,1.6
2,12/9/2019,2,0.04,0.014,3
2,12/9/2019,6,0.05,0.013,1.8
2,12/9/2019,10,0.05,0.019,3.1
2,12/9/2019,14,0.06,0.017,4.2
2,12/9/2019,18,0.06,0.019,3
2,12/9/2019,22,0.03,0.016,3.7
3,12/16/2019,3,0.02,0.018,3.1
3,12/16/2019,7,0.04,0.016,2.8
3,12/16/2019,11,0.01,0.01,2.7
3,12/16/2019,15,0.01,0.016,2.6
3,12/16/2019,19,0,0.01,1.8
3,12/16/2019,23,0.02,0.018,3.5
4,12/23/2019,4,0.03,0.007,3.2
4,12/23/2019,8,0.07,0.011,2.5
4,12/23/2019,12,0.03,0.015,1.1
4,12/23/2019,16,0.04,0.01,3.1
4,12/23/2019,20,0.07,0.01,3.4
4,12/23/2019,24,0.01,0.01,4
5,12/30/2019,1,0,0.009,3.2
5,12/30/2019,5,0,0.018,3.1
5,12/30/2019,9,0,0.022,4.7
5,12/30/2019,13,0,0.014,4.1
5,12/30/2019,17,0,0.042,1.7
5,12/30/2019,21,0,0.016,3.9
6,1/6/2020,2,0.02,0.011,4.4
6,1/6/2020,6,0.04,0.009,3.2
6,1/6/2020,10,0.03,0.012,3.9
6,1/6/2020,14,0.08,0.011,3.6
6,1/6/2020,18,0.04,0.013,3.9
6,1/6/2020,22,0.03,0.014,7.5
7,1/13/2020,3,0.03,0.008,2.7
7,1/13/2020,7,0.12,0.014,2.9
7,1/13/2020,11,0.08,0.012,2.9
7,1/13/2020,15,0.03,0.005,4.1
7,1/13/2020,19,0.05,0.008,
7,1/13/2020,23,0.06,0.016,2.6
8,1/21/2020,4,0.11,0.007,3.4
8,1/21/2020,8,0.1,0.008,4.1
8,1/21/2020,12,0.09,0.011,7
8,1/21/2020,16,0.19,0.016,2.7
8,1/21/2020,20,0.07,0.016,3.3
8,1/21/2020,24,0.08,0.013,3.2
9,1/27/2020,1,0,0.01,3.1
9,1/27/2020,5,0.07,0.014,3
9,1/27/2020,9,0.14,0.011,1.7
9,1/27/2020,13,0.1,0.014,2.3
9,1/27/2020,17,0.09,0.012,4
9,1/27/2020,21,0.12,0.012,3.1
10,2/3/2020,2,0,0.016,3.2
10,2/3/2020,6,0.04,0.018,2.2
10,2/3/2020,10,0.01,0.013,3.8
10,2/3/2020,14,0,0.014,3.6
10,2/3/2020,18,0.06,0.016,3.7
10,2/3/2020,22,0.04,0.014,3.6
11,2/10/2020,3,0,0.012,2.5
11,2/10/2020,7,0.04,0.009,3.5
11,2/10/2020,11,0.03,0.014,3.7
11,2/10/2020,15,0.05,0.011,2.4
11,2/10/2020,19,0.06,0.008,3.6
11,2/10/2020,23,0.01,,4.6
12,2/17/2020,4,0.16,0.014,3.4
12,2/17/2020,8,0.11,0.006,3.1
12,2/17/2020,12,0.07,0.012,4.5
12,2/17/2020,16,0.13,0.01,4.4
12,2/17/2020,20,0.12,0.01,4.6
12,2/17/2020,24,0.12,0.01,4.4
